step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
115.0,1,2.0,0.044444444444444446,10.414232572752411,1,13.0,0.09812873012002173,1,13.0
120.0,1,7.0,0.14893617021276595,11.322234279891777,1,7.0,0.1757409930215652,1,7.0
125.0,2,4.0,0.08163265306122448,12.569037991296092,2,4.0,0.001790266854020361,2,4.0
130.0,3,15.0,0.3,11.298358838795599,2,14.0,0.2882359400366793,2,14.0
135.0,1,4.0,0.08163265306122448,10.565351006161837,1,23.0,0.07183637843201297,1,23.0
140.0,3,9.0,0.17647058823529413,12.478922460113003,2,19.0,0.23016113169736913,2,19.0
145.0,5,14.0,0.2692307692307692,11.367023449634482,2,24.0,0.11412497691429924,2,24.0
150.0,5,34.0,0.6296296296296297,11.854769191125056,3,23.0,0.17079139397089463,3,23.0
155.0,7,68.0,1.2592592592592593,9.577070928694743,4,42.0,0.043147324347191165,4,42.0
160.0,9,108.0,1.9636363636363636,10.07419665004996,4,62.0,0.04878270939480771,4,62.0
165.0,7,93.0,1.690909090909091,9.27182077376993,4,82.0,0.0,4,82.0
170.0,4,35.0,0.6140350877192983,9.600415875773455,1,67.0,0.20064078172777897,1,67.0
175.0,3,3.0,0.05084745762711865,10.308903487722498,2,35.0,0.11164016150265427,2,35.0
180.0,3,15.0,0.2459016393442623,10.816812625656425,2,24.0,0.18065964780255778,2,24.0
185.0,2,3.0,0.04918032786885246,11.614299532778332,2,19.0,0.05603654885787422,2,19.0
190.0,2,11.0,0.18032786885245902,12.791858885847844,2,20.0,0.10561477260494495,2,20.0
195.0,4,27.0,0.43548387096774194,12.09535373729064,3,28.0,0.0012399972488885307,3,28.0
200.0,3,13.0,0.20634920634920634,11.166648818477906,1,46.0,0.0783734032667447,1,46.0
205.0,2,7.0,0.109375,11.564856566709967,2,48.0,0.11666960359181264,2,48.0
210.0,2,17.0,0.2698412698412698,12.440730629858058,2,27.0,0.24268475756841373,2,27.0
215.0,4,7.0,0.1076923076923077,12.987940136465992,2,28.0,0.045572803482162416,2,28.0
220.0,5,27.0,0.4090909090909091,12.642774717992522,2,25.0,0.13569912539395018,2,25.0
225.0,2,13.0,0.203125,10.760886268234623,1,14.0,0.12286452893860478,1,14.0
230.0,4,14.0,0.22580645161290322,10.765800916526446,2,11.0,0.20541268357771017,2,11.0
235.0,6,28.0,0.4444444444444444,9.974028461037692,5,27.0,0.029468809040970035,5,27.0
240.0,5,52.0,0.8125,12.067288519796605,5,52.0,3.235693231273416e-06,5,52.0
245.0,1,11.0,0.1774193548387097,12.589003777820682,1,40.0,0.0572340578911234,1,40.0
250.0,1,3.0,0.05,12.54701050193669,0,11.0,0.25924854640611705,0,11.0
255.0,3,12.0,0.2,12.71685324304215,1,9.0,0.22841405899304545,1,9.0
260.0,6,29.0,0.47540983606557374,10.826143084066565,4,21.0,0.00666910812003244,4,21.0
265.0,1,6.0,0.09523809523809523,10.446332994404429,1,28.0,0.04607561417037741,1,28.0
270.0,1,3.0,0.046875,11.992898274301043,0,6.0,0.4213493475403002,0,6.0
275.0,2,3.0,0.046875,12.504136032122108,2,17.0,0.06677479886336597,2,17.0
280.0,8,26.0,0.43333333333333335,11.952730988931064,5,38.0,7.843913896658986e-05,5,38.0
285.0,5,49.0,0.8448275862068966,11.388816415646245,5,63.0,0.019228859776435823,5,63.0
290.0,2,4.0,0.06896551724137931,11.629682063256793,1,47.0,0.16939897651181735,1,47.0
295.0,1,2.0,0.034482758620689655,12.223304360212197,1,7.0,0.14487760154756002,1,7.0
300.0,1,7.0,0.1206896551724138,12.439690470580336,1,19.0,0.11739348523143793,1,19.0
305.0,2,12.0,0.20689655172413793,13.175840144375252,1,18.0,0.1597960181433943,1,18.0
310.0,2,4.0,0.06896551724137931,12.232321684476798,2,26.0,0.032794507044357574,2,26.0
315.0,6,27.0,0.46551724137931033,11.518731160238355,6,49.0,0.00060555562727057,6,49.0
320.0,9,69.0,1.15,11.68356347065665,6,79.0,0.0,6,79.0
325.0,4,35.0,0.625,11.640139106888181,1,71.0,0.07921314434737028,1,71.0
330.0,2,2.0,0.03389830508474576,11.776802405414282,0,22.0,0.19315953658197535,0,22.0
